Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
Prolgae,2016,The Nilgiris,Biotechnology,Tech,Prolgae Spirulina Supplies Pvt. Ltd. is a Nordic-India joint operating company.,Aakas Sadasivam,Vijayan,"$200,000",Seed
Biconomy,2019,New Delhi,Blockchain,Fintech,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM","$9,000,000",
Coinshift,2021,Chandigarh,Blockchain,Fintech,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,Tarun Gupta,"Sequoia Capital, Sandeep Nailwal","$2,500,000",Seed
bitsCrunch,2020,Chennai,Blockchain,Fintech,A consulting firm focused mainly on Data Analytics and DevOps.,Saravanan Jaichandaran,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps","$700,000",Seed
Coinshift,2021,Chandigarh,Blockchain,Fintech,CoinShift helps businesses and decentralised autonomous organisations (DAO's) manage their crypto easily,Tarun Gupta,"Sequoia Capital, Sandeep Nailwal","$2,500,000",Seed
bitsCrunch,2020,Chennai,Blockchain,Fintech,A consulting firm focused mainly on Data Analytics and DevOps.,Saravanan Jaichandaran,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps","$700,000",Seed
Biconomy,2019,New Delhi,Blockchain startup,Fintech,Biconomy is a technology company building transaction infrastructure for next-generation Web 3 applications.,"Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital","$1,500,000",Seed
KoineArth,2018,Bangalore,Blockchain startup,Fintech,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",Praphul Chandra,YourNest,"$1,800,000",Pre-series A
Koo,2020,Bangalore,Blogging,Media,Koo App operates as a microblogging app.,"Mayank Bidawatka, Aprameya Radhakrishna","3one4 Capital, Accel","$4,100,000",Series A
Prodo,2021,New Delhi,Business Supplies & Equipment,B2B,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.","Sameen Husain, Abhiroop Srivastava","Titan Capital, LetsVenture","$300,000",Pre-seed
Hemp Horizons,2017,Noida,Cannabis startup,Hemp,Cannabis and Hemp company,Rohit Shah,Mumbai Angels,"$200,000",Seed
Trinkerr,2021,Bangalore,Capital Markets,Finance,Trinkerr is India's first social trading platform.,"Manvendra Singh, Gaurav Agarwal",Accel India,"$6,600,000",Series A
Trinkerr,2021,Bangalore,Capital Markets,Finance,Trinkerr is India's first social trading platform.,"Manvendra Singh, Gaurav Agarwal",Accel India,"$6,600,000",Series A
Unlu,2020,Gurgaon,Celebrity Engagement,Media,Personalised Video Shoutout from top celebrities,"Akshay Pruthi, Anurag Dalia, Himanshu Periwal, Vipul Agrawal",EXPERT DOJO,"$1,000,000",Seed
Clairco,2018,Bangalore,CleanTech,Tech,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,Aayush Jha,"Real Estate Accelerator Program (REAP), AngelList","$500,000",
Mensa Brands,2021,Bangalore,Clothing,Fashion,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",Ananth Narayanan,"Accel Partners, Falcon Edge Capital, Norwest Venture Partners","$50,000,000",Series A
Rebel Foods,2011,Mumbai,Cloud kitchen,Food,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.","Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,"$175,000,000",Series F
Kiko Live,2020,Gurgaon,Commerce,E-Commerce,Video-based social commerce startup,"Alok Chawla, Shivam","Dinesh Agarwal, Amarjit Batra","$1,000,000",Pre-series A
MYRE Capital,2020,Mumbai,Commercial Real Estate,Finance,Democratising Real Estate Ownership,Own rent yielding commercial properties,Aryaman Vir,,
leap.club,2014,Gurgaon,Community,Media,A community-led professional network for women,"Ragini Das, Anand Sinha","Enzia Ventures, Kunal Shah","$810,000",Pre-Series A
Kutumb,2020,Bangalore,Community platform,Media,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global","$26,000,000",Series A
Doola,2020,New York,Company-as-a-Service,Service,The ultimate One-Stop-Shop™️ to help US and Non-US Founders to turn an idea into their dream US Business,"Arjun Mahadevan, JP Pincheira",Nexus Venture Partners,"$3,000,000",
CloudSEK,2015,Bangalore,Computer & Network Security,Tech,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,Rahul Sasi,MassMutual Ventures,"$7,000,000",Series A
Studio Sirah,2020,Bangalore,Computer Games,Tech,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,"Abhaas Shah, Prateek Shah",Lumikai,"$800,000",
FanPlay,2020,Computer Games,Computer Games,Tech,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",,
FanPlay,2020,Computer Games,Computer Games,Tech,A real money game app specializing in trivia games,YC W21,"Pritesh Kumar, Bharat Gupta",,
GameEon Studios,2013,Mumbai,Computer Games,Tech,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Nikhil Malankar,Mumbai Angels Network,"$320,000",
GameEon Studios,2013,Mumbai,Computer Games,Tech,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Nikhil Malankar,Mumbai Angels Network,"$320,000",
SuperBeings,2019,Bangalore,Computer software,Tech,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.","Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,,Seed
Slang Labs,2017,Bangalore,Computer software,Tech,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,Kumar Rangarajan,100x Entrepreneurs,,
Sapio Analytics,2019,Mumbai,Computer software,Tech,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,"Ashwin Srivastava, Hardik Somani, Prashant Nikam",Parthiv Group,"$150,000",
Fountain9,2019,Mumbai,Computer software,Tech,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.","Niki Khokale, Rajas Lonkar","021 Capital, Y Combinator","$1,900,000",Seed
CanPe,2019,Bangalore,Computer software,Tech,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",Arindam Choudhury,Axilor Ventures,,Seed
Codedamn,2020,New Delhi,Computer software,Tech,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul Mohan,Antler India,,Pre-seed
Postman,2014,Bangalore,Computer software,Tech,Postman is the collaboration platform for API development.,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners","$225,000,000",Series D
Hashnode,2016,Bangalore,Computer software,Tech,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge","$6,700,000",Series A
Gyde,2019,Pune,Computer software,Tech,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar","$250,000",Seed
CreatorStack,2019,Bangalore,Computer software,Tech,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,"$2,000,000",
Goodmeetings,2020,Bangalore,Computer software,Tech,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,"$1,700,000",Series A
Cusmat,2016,Hyderabad,Computer Software,Tech,CUSMAT is India’s largest immersive skilling and training platform.,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,"$100,000",Pre-series A
Leena AI,2015,Gurgaon,Computer Software,Tech,AI to help enterprises transform the employee experience.,"Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,"$30,000,000",Series B
Aerchain,2019,Bangalore,Computer Software,Tech,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,"Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart","$3,000,000",Pre-series A
Lio,2020,Pune,Computer Software,Tech,"Lio is the one app for all data where you can create, keep records and track all the records",Anupam Vijayvergia,"Lightspeed, Sequioa","$5,000,000",Seed
GTM Buddy,2020,Hyderabad,Computer Software,Tech,Just-in-time Sales Enablement Platform,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,"$2,000,000",Seed
Sapio Analytics,2019,Mumbai,Computer Software,Tech,Sapio helps government create policies driven by the power of data and AI.,"Hardik Somani, Ashwin Srivastava, Shripal Jain, Viral Vora","Rachit Poddar, Rajesh Gupta",,
LeadSquared,2011,Bangalore,Computer Software,Tech,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",Nilesh Patel,International Finance Corporation,,
Ishitva,2018,Ahmedabad,Computer Software,Tech,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",Jitesh Dadlani,Inflection Point Ventures,"$1,000,000",Pre-Series A
Onato,2021,Bangalore,Computer Software,Tech,A startup solving inefficiencies in the agri supply chain,"Vedant Katiyar, Ashish Jindal","Vertex Ventures, Omnivore","$2,200,000",
Clear,2011,Bangalore,Computer Software,Tech,India’s leading FinTech SaaS platform,"Archit Gupta, Srivatsan Chari","Kora Capital, Stripe, Alua Capital","$75,000,000",Series C
E42,2012,Pune,Computer Software,Tech,E42 is the world’s leading Natural Language Processing- based AI platform driving enterprise cognition across processes.,"Animesh Samuel, Sanjeev Menon",Pavestone Ventures,"$5,400,000",Series A
Instoried,2018,Bangalore,Computer Software,Tech,"The platform helps content writers in e-commerce, news, FMCG, and other verticals to optimize emotions in their marketing content.",Sharmin Ali,"Pritt Investment Partners, 9Unicorns","$8,000,000",
Zenduty,2019,Bangalore,Computer Software,Tech,"Next-generation end-to-end incident response platform for SREs, DevOps, ITOps and Support teams","Ankur Rawal, Vishwa Krishnakumar",StartupXseed Ventures,"$1,900,000",Pre-series A
Cusmat,2016,Hyderabad,Computer Software,Tech,CUSMAT is India’s largest immersive skilling and training platform.,"Abhinav Ayan, Anirban Jyoti Chakravorty",We Founder Circle,"$100,000",Pre-series A
Leena AI,2015,Gurgaon,Computer Software,Tech,AI to help enterprises transform the employee experience.,"Mayank Goyal, Anand Prajapati",Bessemer Venture Partners,"$30,000,000",Series B
Aerchain,2019,Bangalore,Computer Software,Tech,Advance Source-to-Pay cycle to a new level with Artificial Intelligence!,"Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart","$3,000,000",Pre-series A
Lio,2020,Pune,Computer Software,Tech,"Lio is the one app for all data where you can create, keep records and track all the records",Anupam Vijayvergia,"Lightspeed, Sequioa","$5,000,000",Seed
GTM Buddy,2020,Hyderabad,Computer Software,Tech,Just-in-time Sales Enablement Platform,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,"$2,000,000",Seed
Sapio Analytics,2019,Mumbai,Computer Software,Tech,Sapio helps government create policies driven by the power of data and AI.,"Hardik Somani, Ashwin Srivastava, Shripal Jain, Viral Vora","Rachit Poddar, Rajesh Gupta",,
TurboHire,2019,Hyderabad,Computer Software,Tech,"Industry-leading augmented intelligence software for Talent Intelligence, Recruitment Automation, and Applicant Tracking",Deepak Agrawal,"Arcilla, Samir Khosla",,
Toplyne,2021,Bangalore,Computer Software,Tech,Toplyne helps sales teams at product-led companies convert their freemium users!,"Rishen Kapoor and Ruchin Kulkarni, Rohit Khanna","Sequoia Capital , Together Fund","$2,500,000",
Arbo Works,2021,California,Computer Software,Tech,Finance technology,Caesar Sengupta,Sequoia Capital,,
CometChat,2009,Mumbai,Computer Software,Tech,"Voice, video & text chat SDKs, APIs & Plugins for Developers.","Anuj, Anant Garg",Signal Peak Ventures,"$10,000,000",Series A
Dista,2017,Pune,Computer Software,Tech,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,"$1,200,000",Seed
Metadome,2017,Bangalore,Computer Software,Tech,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund","$4,000,000",Pre-series A
BangDB,2015,Bangalore,Computer Software,Tech,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,Sachin Sinha,Ten Innovate,,
Infra.Market,2016,Thane,Construction,Construction,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Aaditya Sharda, Souvik Sengupta","InnoVen Capital, Nexus Venture Partners","$100,000,000",Series C
Powerplay,2020,Bangalore,Construction,Construction,Powerplay helps simplify end to end Construction and Architecture project management.,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners","$5,200,000",
infra.market,2016,Thane,Construction,Construction,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,"Souvik Sengupta, Aaditya Sharda",Tiger Global,"$125,000,000",Series D
Kolo,2020,Bangalore,Construction,Construction,Home construction app for finding ideas and service providers near you,"Pranav Garg, Jery Althaf",Better Capital,"$550,000",Pre-seed
Vendor Infra,2019,Gurgaon,Construction,Construction,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities",Rahul Jain,"SK Tripathi, Sanjeev Gupta","$265,000",
Kolo,2020,Bangalore,Construction,Construction,Home construction app for finding ideas and service providers near you,"Pranav Garg, Jery Althaf",Better Capital,"$550,000",Pre-seed
ExMyB,2018,Gurgaon,Consulting,Consulting,ExMyB provides financial service and consulting services.,Nishant Behl,Campus Fund,,Seed
Nexprt,2020,New Delhi,Consulting,Consulting,Nexprt Solutions offers end-to-end and 100% customized import solutions.,Harsha Vardhan K,Titan Capital,"$2,000,000",
ANSR,2008,Bangalore,Consulting,Consulting,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.",Lalit Ahuja,"Sistema Asia Capital, Evolvence India Fund","$15,000,000",Series B
Disruptium,2021,Ahmedabad,Consulting,Consulting,A consultancy platform for startups,"Yash Shah, Kapil Mathrani, Ishit Desai",Pravesh Mehta,"$200,000",
